Nom;prix;imageUrl
Magnet 365 - Hearth shaped Limmat MM;1.70;/images/magnet/Magnet365.jpg
Magnet 366 - double-sided Zytglogge MM;1.30;/images/magnet/Magnet366.jpg
Magnet 367 - Bear. Zytglogge figurine FIG;3.50;/images/magnet/Magnet367.jpg
Magnet 368 - Zytglogge figurine FIG;3.50;/images/magnet/Magnet368.jpg
Magnet 369 - Lausanne City MM;1.30;/images/magnet/Magnet369.jpg
Magnet 370 - Rheinfall MM;2.00;/images/magnet/Magnet370.jpg
Magnet 371 - Grd St-Bernard MM;2.00;/images/magnet/Magnet371.jpg
Magnet 372 - Zermatt hanger MM;2.00;/images/magnet/Magnet372.jpg
Magnet 373 - Matterhorn train MM;1.30;/images/magnet/Magnet373.jpg
Magnet 374 - Matterhorn Valais MM;1.70;/images/magnet/Magnet374.jpg
Magnet 376 - Zermatt MM;2.00;/images/magnet/Magnet376.jpg
Magnet 377 - Matterhorn Valais;1.70;/images/magnet/Magnet377.jpg
Magnet 378 - Kapellbrücke MM;1.30;/images/magnet/Magnet378.jpg
Magnet 379 - Montreux MM;2.00;/images/magnet/Magnet379.jpg
Magnet 380 - Castle double sided MM;1.30;/images/magnet/Magnet380.jpg
Magnet 381 - Montreux double sided MM;1.30;/images/magnet/Magnet381.jpg
Magnet 382 - Rheinfall double sided MM;1.30;/images/magnet/Magnet382.jpg
Magnet 383 - Hearth Rheinfall;1.70;/images/magnet/Magnet383.jpg
Magnet 384 - Bear with cub;1.70;/images/magnet/Magnet384.jpg
Magnet 385 - Fondue pot Bern;1.70;/images/magnet/Magnet385.jpg
Magnet 386 - Fondue pot Crans-Montana;1.70;/images/magnet/Magnet386.jpg
Magnet 387 - Fondue pot Genève;1.70;/images/magnet/Magnet387.jpg
Magnet 388 - Fondue pot Interlaken;1.70;/images/magnet/Magnet388.jpg
Magnet 389 - Fondue pot Lausanne;1.70;/images/magnet/Magnet389.jpg
Magnet 390 - Fondue pot Luzern;1.70;/images/magnet/Magnet390.jpg
Magnet 391 - Fondue pot Montreux;1.70;/images/magnet/Magnet391.jpg
Magnet 392 - Fondue pot Rheinfall;1.70;/images/magnet/Magnet392.jpg
Magnet 393 - Fondue pot Zermatt;1.70;/images/magnet/Magnet393.jpg
Magnet 394 - Fondue pot Zürich;1.70;/images/magnet/Magnet394.jpg
Magnet 395 - Bern;1.00;/images/magnet/Magnet395.jpg
Magnet 396 - Crans-Montana;1.00;/images/magnet/Magnet396.jpg
Magnet 397 - Genève;1.00;/images/magnet/Magnet397.jpg
Magnet 398 - Interlaken;1.00;/images/magnet/Magnet398.jpg
Magnet 399 - Lausanne;1.00;/images/magnet/Magnet399.jpg
Magnet 400 - Luzern;1.00;/images/magnet/Magnet400.jpg
Magnet 401 - Montreux;1.00;/images/magnet/Magnet401.jpg
Magnet 402 - Rheinfall;1.00;/images/magnet/Magnet402.jpg
Magnet 403 - Zermatt;1.00;/images/magnet/Magnet403.jpg
Magnet 404 - Zürich;1.00;/images/magnet/Magnet404.jpg
Magnet 405 - Switzerland;1.00;/images/magnet/Magnet405.jpg
Magnet 406 - Swiss Round;2.00;/images/magnet/Magnet406.jpg
Magnet 408 - Hanger Crans-Montana;2.00;/images/magnet/Magnet408.jpg
Magnet 409 - Cartoon cow;2.00;/images/magnet/Magnet409.jpg
Magnet 410 - bell magnet Gd-St-Bernard;3.00;/images/magnet/Magnet410.jpg
Magnet 411 - bell magnet Zürich;3.00;/images/magnet/Magnet411.jpg
Magnet 412 - bell magnet Luzern;3.00;/images/magnet/Magnet412.jpg
Magnet 413 - bell magnet Lausanne;3.00;/images/magnet/Magnet413.jpg
Magnet 414 - bell magnet Bern;3.00;/images/magnet/Magnet414.jpg
Magnet 415 - bell magnet Interlaken;3.00;/images/magnet/Magnet415.jpg
Magnet 416 - bell magnet Switzerland;3.00;/images/magnet/Magnet416.jpg
Magnet 417 - bell magnet Rheinfall;3.00;/images/magnet/Magnet417.jpg
Magnet 418 - Spoon magnet. bottle opener;2.00;/images/magnet/Magnet418.jpg
Magnet 420 - Bottle-opener BE;2.00;/images/magnet/Magnet420.jpg
Magnet 421 - Bottle-opener Crans-Montana;2.00;/images/magnet/Magnet421.jpg
Magnet 422 - Bottle-opener GE;2.00;/images/magnet/Magnet422.jpg
Magnet 423 - Bottle-opener IN;2.00;/images/magnet/Magnet423.jpg
Magnet 424 - Bottle-opener LU;2.00;/images/magnet/Magnet424.jpg
Magnet 425 - Bottle-opener Nyon;2.00;/images/magnet/Magnet425.jpg
Magnet 426 - Bottle-opener Rheinfall;2.00;/images/magnet/Magnet426.jpg
Magnet 427 - Bottle-opener Switzerland;2.00;/images/magnet/Magnet427.jpg
Magnet 428 - Bottle-opener Zermatt;2.00;/images/magnet/Magnet428.jpg
Magnet 429 - Bottle-opener ZU;2.00;/images/magnet/Magnet429.jpg
Magnet 430 - Edelweiss on bell;1.90;/images/magnet/Magnet430.jpg
Magnet 431 - Decorative frame BE;2.00;/images/magnet/Magnet431.jpg
Magnet 432 - Decorative frame Crans-Montana;2.00;/images/magnet/Magnet432.jpg
Magnet 433 - Decorative frame GE;2.00;/images/magnet/Magnet433.jpg
Magnet 434 - Decorative frame IN;2.00;/images/magnet/Magnet434.jpg
Magnet 435 - Decorative frame LU;2.00;/images/magnet/Magnet435.jpg
Magnet 436 - Decorative frame Nyon;2.00;/images/magnet/Magnet436.jpg
Magnet 437 - Decorative frame RH;2.00;/images/magnet/Magnet437.jpg
Magnet 438 - Decorative frame CH;2.00;/images/magnet/Magnet438.jpg
